0,0.236727,0.17184,0.0666328,0.0676265,0.0462258,0.0493346,0.0106621,0.0434797,0.0286057,0.0159925,0.0126156,0.0185562,0.00902151,0.00627606,0.0134785,0.00908921,0.00383636,0.0107224,0.0149666,
0,0.0801981,0.138078,0.116205,0.0636147,0.038018,0.0540857,0.0375093,0.0315906,0.0331988,0.0125654,0.0284235,0.0183277,0.0225409,0.00790381,0.0188428,0.012737,0.0050127,0.0135698,0.0210928,
1,0.452901,0.177393,0.199557,0.153885,0.105201,0.0820232,0.059206,0.0453234,0.0297966,0.0179148,0.0303968,0.0247344,0.0319587,0.0318755,0.0381366,0.034794,0.0257565,0.0156071,0.0090639,
2,0.618839,0.174386,0.14205,0.124931,0.147267,0.0920967,0.0223446,0.0495904,0.0387271,0.0116932,0.0423524,0.0222399,0.0271563,0.0346014,0.0150072,0.00990816,0.0141424,0.0184432,0.0198113,
2,0.673428,0.14022,0.113259,0.135815,0.115862,0.0521479,0.0392688,0.0539014,0.0264621,0.0324039,0.0245311,0.0208533,0.0196205,0.0128166,0.0267888,0.0316395,0.0269463,0.0109514,0.0124612,
3,0.326396,0.24913,0.19725,0.112993,0.085271,0.0901283,0.0600791,0.0863757,0.0327872,0.0403037,0.0305547,0.0219183,0.0352684,0.0196277,0.0226727,0.0162257,0.0122402,0.00686845,0.0157719,
3,0.604805,0.313091,0.290733,0.0831244,0.151666,0.0382071,0.0587434,0.0721657,0.029604,0.0477792,0.0380911,0.0250052,0.0336396,0.0155889,0.018444,0.0154457,0.0213403,0.0132098,0.0194216,
3,0.480303,0.232708,0.271953,0.182198,0.122192,0.0864993,0.0747182,0.0331654,0.0408749,0.0283033,0.0540159,0.0136626,0.0176465,0.0320522,0.0268238,0.0202636,0.0206354,0.0137638,0.0141249,
4,0.532327,0.157169,0.11233,0.120455,0.0541345,0.0389184,0.0471263,0.0368274,0.0123925,0.0119023,0.02094,0.0193275,0.00965088,0.00703037,0.0131996,0.00930836,0.00330663,0.00792343,0.0109993,
5,0.619344,0.34753,0.247489,0.148265,0.0639656,0.0865024,0.0665315,0.0413032,0.0566986,0.0691004,0.03564,0.0283949,0.0385058,0.0167659,0.0326304,0.0182079,0.0134653,0.00945885,0.00834952,
5,0.521297,0.321447,0.333595,0.171599,0.0608321,0.0740317,0.0811966,0.0408588,0.0437382,0.0593824,0.0451293,0.0409562,0.0336352,0.0266716,0.0234708,0.0338265,0.0174054,0.0186944,0.0127746,
5,0.483237,0.228035,0.246238,0.25145,0.180809,0.103812,0.0835053,0.0937902,0.069709,0.0346282,0.0312776,0.0612328,0.0617735,0.0334379,0.0252121,0.0261135,0.0368305,0.014061,0.00938484,
6,0.414742,0.165144,0.223124,0.131827,0.0445542,0.0499374,0.00848082,0.0185712,0.0397991,0.0497671,0.0271727,0.0289728,0.0352351,0.0143607,0.0201389,0.0282152,0.017174,0.0145994,0.00243498,
6,0.194868,0.365641,0.16485,0.130348,0.00916491,0.0387526,0.0480087,0.0621324,0.0590181,0.00826772,0.040956,0.0411972,0.0193995,0.0143943,0.0132782,0.012591,0.010581,0.017863,0.00963059,
7,0.0857513,0.0901471,0.0881742,0.061232,0.0696212,0.0212059,0.0214565,0.0141288,0.0157056,0.0176152,0.0254374,0.00786644,0.0118935,0.0151435,0.0173335,0.015154,0.0187408,0.00958746,0.0106198,
7,0.36442,0.168762,0.0877377,0.0632039,0.0373274,0.0369488,0.030073,0.0188698,0.0288448,0.0166422,0.0200836,0.0232705,0.0222643,0.0107114,0.018834,0.0211015,0.0166869,0.00829725,0.0129512,
8,0.407061,0.0861088,0.318818,0.298756,0.176999,0.10428,0.160869,0.0851727,0.0766134,0.0143692,0.0343709,0.0496082,0.00952857,0.0265193,0.0168383,0.0257094,0.00985377,0.0203686,0.0187558,
8,0.457173,0.269649,0.258428,0.259352,0.135316,0.0358264,0.12284,0.11978,0.0556664,0.0843698,0.0256329,0.0246385,0.0299797,0.0305609,0.00863361,0.0257302,0.0277972,0.0254131,0.00608055,
9,0.560065,0.0987207,0.244808,0.248984,0.31694,0.082136,0.117485,0.04531,0.0322222,0.0580459,0.0440211,0.0576348,0.0386781,0.0249875,0.0434175,0.0553104,0.0136908,0.02677,0.0280501,
9,0.599157,0.0966435,0.266767,0.277206,0.273104,0.116742,0.188048,0.13045,0.0998745,0.0886422,0.0123724,0.0333955,0.0202123,0.0298314,0.0270509,0.0181056,0.0316702,0.0332319,0.0288557,
10,0.697259,0.0928553,0.208009,0.179217,0.229479,0.163916,0.171826,0.0964045,0.0861974,0.0609174,0.0563961,0.0457129,0.0366224,0.0377484,0.00696656,0.0063807,0.00343363,0.0133032,0.010217,
